Gender,Major,Program,GPA
Male,B.Tech,ECE,6.369307674322425
Female,B.Tech,CSE,9.14030877983656
Female,B.Tech,CSE,8.665679080513895
Male,B.Tech,ECE,7.730935434101578
Male,B.Tech,ECE,6.656924069258602
Male,MS,CHD,8.840440762685805
Male,B.Tech,CND,5.866540360949541
Female,B.Tech,CSE,8.07657531524426
Male,MS,CHD,8.649581476194031
Female,MS,CSE,7.894057985745503
Male,MS,ECE,8.79743041934554
Female,MS,CSE,7.686945209375305
Female,PhD,CSE,7.667457200950884
Male,B.Tech,CSE,7.977965012999921
Male,B.Tech,CSE,6.91475707086054
Male,B.Tech,CHD,7.601780603298668
Male,B.Tech,ECE,8.820886591559406
Male,B.Tech,CND,6.2777459276037035
Male,B.Tech,ECE,6.8566204951600245
Male,B.Tech,CSE,8.569634504577714
Male,B.Tech,CSE,7.668731730855283
Male,B.Tech,CSE,6.3002172557954035
Male,PhD,ECE,7.822491148230261
Male,B.Tech,ECE,6.4719193598966545
Male,MS,ECE,7.483109706637985
Female,B.Tech,CSE,7.237348119489531
Male,PhD,CSE,8.3392172535988
Male,MS,CSE,8.195466427992747
Male,B.Tech,CSE,6.159187198440217
Male,B.Tech,CSE,6.929166092474745
Male,B.Tech,ECE,4.944300226043783
Male,PhD,CSE,8.372503158680685
Male,MS,CHD,8.822808451469106
Female,MS,ECE,7.002677863457674
Female,B.Tech,CSE,7.483428230647461
Female,B.Tech,CHD,6.388985648239437
Male,MS,ECE,8.561750807585359
Male,B.Tech,CSE,7.158647451212278
Female,B.Tech,CHD,7.404704112660441
Male,B.Tech,CSE,7.06482389875544
Male,PhD,CSE,8.964165903192177
Male,B.Tech,ECE,7.347410477695102
Male,B.Tech,ECE,6.2945762859975485
Female,B.Tech,CSE,7.098715052321004
Male,MS,CSE,7.741783269923766
Female,B.Tech,CHD,7.162399906519589
Male,B.Tech,CSE,6.580230287633187
Male,B.Tech,CSE,6.323189264453685
Male,MS,ECE,8.139490548923913
Male,PhD,CND,8.327894814308278
Female,MS,CSE,8.744769091532094
Female,B.Tech,ECE,6.585044120867187
Female,PhD,CHD,7.309573076252347
Female,B.Tech,ECE,6.636129201536687
Male,B.Tech,ECE,5.373569241083423
Female,B.Tech,CND,7.415671974096576
Male,B.Tech,CSE,5.326102071651213
Male,MS,CSE,7.3081402563101285
Male,B.Tech,CND,6.637665541725137
Male,B.Tech,ECE,8.543950604761145
Male,B.Tech,ECE,5.927109884285082
Male,B.Tech,ECE,7.0124049831465864
Female,B.Tech,ECE,7.579976576957259
Male,B.Tech,ECE,8.484060553220697
Male,B.Tech,CND,7.77779475172141
Male,B.Tech,ECE,8.093906951632466
Male,B.Tech,CSE,7.864307058851542
Female,MS,CHD,7.1536139200227025
Male,B.Tech,ECE,7.3596921043170465
Other,MS,ECE,8.594062666520555
Female,PhD,ECE,7.821749855162991
Male,MS,CSE,7.594168086293184
Male,B.Tech,ECE,6.196807704872944
Female,B.Tech,ECE,7.772622985968033
Female,PhD,CND,8.265359439835434
Female,B.Tech,ECE,6.679154105664903
Female,B.Tech,CSE,5.718330083347013
Male,B.Tech,ECE,6.932605746806208
Male,B.Tech,ECE,6.432411645015251
Male,PhD,ECE,8.421669782632081
Female,B.Tech,ECE,5.857032801354549
Male,B.Tech,ECE,7.177906259506201
Male,B.Tech,CSE,6.5610492295011795
Male,B.Tech,ECE,5.7507030742648535
Male,B.Tech,CSE,5.6727159621218535
Male,B.Tech,ECE,5.822979611977306
Female,MS,CSE,7.855520659791621
Male,B.Tech,CSE,7.1209954343635005
Female,MS,ECE,8.188876542664026
Male,B.Tech,ECE,7.307552917728447
Male,B.Tech,ECE,6.2414767390208
Female,B.Tech,ECE,8.058402908095175
Female,B.Tech,ECE,6.557774473991847
Male,MS,ECE,8.315104832041813
Female,MS,CHD,7.885091196554328
Male,B.Tech,ECE,7.375621231703041
Male,B.Tech,ECE,6.785671933855086
Male,MS,ECE,8.275544413602196
Male,B.Tech,CND,6.992611130119676
Male,B.Tech,CSE,7.813840570650689
Male,PhD,CND,7.8906574783944015
Male,B.Tech,CSE,5.230108664109421
Male,PhD,ECE,7.8133212902829525
Male,B.Tech,CSE,8.068918415238034
Female,MS,CHD,7.891808826078583
Male,B.Tech,CSE,7.092062295546563
Male,B.Tech,CHD,5.946363385953613
Female,B.Tech,CHD,7.065553725150279
Male,B.Tech,ECE,5.977187355927303
Male,B.Tech,ECE,6.124218724947245
Male,B.Tech,CND,6.59751631717612
Male,B.Tech,CHD,7.4450972578421455
Female,MS,ECE,8.386293306449756
Female,B.Tech,ECE,7.579044897937837
Male,B.Tech,ECE,5.411915884955626
Female,B.Tech,ECE,6.9933354996097385
Female,B.Tech,CSE,6.803218166617264
Male,B.Tech,ECE,5.467817583918545
Female,B.Tech,CSE,7.015983766722198
Male,MS,ECE,7.824700947794267
Female,B.Tech,ECE,7.511525672117887
Female,B.Tech,CND,7.081247076239802
Male,MS,CND,7.615475628801723
Male,MS,ECE,8.648033715319883
Male,B.Tech,ECE,4.778766499224876
Male,MS,CSE,7.955014410099273
Female,B.Tech,ECE,5.236749068008065
Female,MS,CSE,7.361464710155716
Male,B.Tech,CSE,7.524813703009349
Male,B.Tech,ECE,5.725802519559197
Male,PhD,ECE,7.588141090648033
Male,B.Tech,CSE,9.381944983415625
Male,B.Tech,CHD,5.6407109485798355
Male,B.Tech,CSE,8.650520903087973
Female,B.Tech,CSE,6.827797835420739
Male,B.Tech,CSE,6.475170878561025
Male,B.Tech,CSE,7.566786390588205
Female,B.Tech,CSE,8.336594075544498
Male,B.Tech,ECE,5.853932057891671
Female,B.Tech,CSE,6.4897502102714695
Female,B.Tech,CHD,7.846869734684252
Male,B.Tech,CSE,7.287994312427
Male,PhD,ECE,8.850958915320692
Male,B.Tech,ECE,7.515111954431779
Male,B.Tech,ECE,8.808224009149148
Male,MS,CHD,8.125012019183556
Male,MS,CND,8.155267803831673
Male,B.Tech,CSE,7.321721372015799
Male,MS,ECE,7.900257803791409
Male,B.Tech,CHD,7.848087158800924
Female,MS,CSE,8.165928856704118
Male,B.Tech,CSE,7.788180009145144
Male,B.Tech,CSE,7.94449985362416
Male,B.Tech,ECE,7.428454681560328
Other,MS,CSE,8.351201426963938
Male,B.Tech,CSE,5.989670212403466
Female,B.Tech,ECE,6.449646412180178
Female,B.Tech,ECE,7.843383452990731
Male,PhD,CSE,9.011815590909258
Female,MS,ECE,6.641698842144148
Male,B.Tech,ECE,6.432136852748585
Male,B.Tech,CND,7.02362060241465
Male,B.Tech,ECE,6.120725537919322
Male,B.Tech,ECE,6.177480355818317
Male,PhD,ECE,8.537459936896903
Female,B.Tech,CSE,8.581375969171434
Male,B.Tech,ECE,4.968176443677859
Male,B.Tech,CHD,6.829523851018304
Male,B.Tech,ECE,7.463280341790388
Male,B.Tech,CHD,7.780213972200242
Female,B.Tech,CND,7.319127343069038
Male,B.Tech,CSE,8.761402549936115
Male,B.Tech,CSE,7.028906593325794
Male,B.Tech,CSE,8.311992790392097
Male,B.Tech,CSE,6.353632329654031
Male,B.Tech,CSE,7.05798294658885
Female,MS,CND,7.151099446940805
Male,B.Tech,CSE,7.900864440548994
Female,B.Tech,CSE,6.879557137358824
Male,MS,CSE,8.25047474376393
Male,B.Tech,CND,6.686631368714926
Male,B.Tech,ECE,7.586428501659016
Female,B.Tech,CND,7.397433973855752
Female,B.Tech,CND,6.005348570028794
Male,B.Tech,ECE,6.063232567416989
Female,B.Tech,CSE,6.972231269658648
Female,MS,CSE,8.46170177018466
Male,MS,CSE,9.304026887179694
Male,B.Tech,ECE,7.302990856665729
Male,B.Tech,CSE,8.00753140248854
Male,B.Tech,CSE,5.387149065235832
Female,B.Tech,ECE,9.012955849433983
Female,B.Tech,ECE,7.605686211129193
Male,MS,CHD,7.965276842188854
Male,B.Tech,CSE,6.835303952542074
Male,PhD,CND,7.746400101070502
Female,MS,ECE,7.425099242995881
Female,MS,CSE,9.33730494249339
Female,B.Tech,ECE,6.010995561713988
Female,B.Tech,CND,5.991732242133655
Male,B.Tech,CSE,6.297779513924421
Male,B.Tech,CSE,5.801819247038727
Male,B.Tech,ECE,7.01530657484551
Female,B.Tech,CSE,8.088910512665239
Male,B.Tech,CHD,6.389507673727967
Male,B.Tech,CSE,5.626675720239179
Male,MS,CHD,8.204302919110258
Female,B.Tech,ECE,6.944225662320187
Male,B.Tech,ECE,8.002724550081625
Male,B.Tech,CSE,6.545491700697729
Male,PhD,CSE,8.169921610186663
Female,B.Tech,CSE,6.850469635456731
Female,B.Tech,CSE,7.089004110553482
Male,B.Tech,CSE,6.60743832264241
Female,PhD,CND,8.022677945976996
Male,MS,ECE,6.704735620582711
Male,B.Tech,ECE,6.434612790879883
Female,B.Tech,ECE,7.715223268081752
Male,B.Tech,ECE,7.850245519368886
Female,B.Tech,CND,6.5288869764087
Female,B.Tech,CSE,8.299485998181762
Male,MS,CND,7.979907149809752
Male,PhD,CHD,7.631076814092027
Male,B.Tech,CHD,5.347615943545744
Male,B.Tech,ECE,8.218257922619726
Male,B.Tech,ECE,6.626996274738926
Female,MS,CSE,7.150154833849195
Male,MS,CSE,6.418506679995126
Female,B.Tech,ECE,6.604283889124857
Male,B.Tech,CND,7.404750858996361
Female,B.Tech,ECE,6.302308855953795
Male,B.Tech,CSE,5.946754839866129
Male,MS,CND,7.61543696197529
Male,B.Tech,ECE,8.243192019144855
Male,MS,CSE,7.024912867627367
Female,B.Tech,CSE,6.358298969577483
Male,MS,CSE,8.847530417732314
Male,B.Tech,CHD,7.494176289423754
Male,MS,CND,8.125389469645269
Male,B.Tech,CSE,6.351553864583751
Female,B.Tech,CSE,7.030504814500428
Female,B.Tech,ECE,6.4621709315467
Female,B.Tech,CND,6.140613868929249
Male,B.Tech,ECE,5.91994252469826
Male,B.Tech,ECE,7.784095596372499
Female,PhD,CSE,8.269796933891932
Male,B.Tech,ECE,7.314513743802696
Female,MS,CSE,8.106171230060983
Female,PhD,CND,8.520459413904181
Female,B.Tech,CSE,6.745281210014108
Male,B.Tech,CHD,6.518342548945426
Male,B.Tech,CSE,6.184719670608878
Female,B.Tech,CHD,5.586030866592886
Male,B.Tech,CSE,5.877966829377083
Male,PhD,ECE,8.11729113944989
Male,B.Tech,ECE,5.396960515564522
Female,B.Tech,CSE,5.6177140958639695
Female,B.Tech,CND,8.042139892635177
Male,MS,ECE,8.156925639397654
Male,B.Tech,ECE,6.548163271796479
Male,B.Tech,CHD,9.27157445890456
Other,B.Tech,CHD,5.3517502812869715
Male,B.Tech,ECE,7.975611276461822
Male,PhD,CND,8.244266958610293
Female,MS,CSE,8.549532916038968
Female,B.Tech,CSE,7.108953717270807
Female,B.Tech,ECE,5.127754937754743
Female,B.Tech,CSE,7.095460467558828
Male,B.Tech,ECE,7.335555854639598
Male,B.Tech,CSE,4.808014701475586
Female,B.Tech,ECE,8.944048293801899
Female,B.Tech,CHD,7.311207594172772
Female,PhD,CHD,8.635993870068248
Female,B.Tech,CND,5.834470610423688
Male,PhD,CND,8.64530876107281
Male,B.Tech,CSE,8.089504459563056
Female,B.Tech,CSE,7.253568228137846
Male,MS,ECE,7.993439909035465
Female,B.Tech,CHD,6.106411875101584
Female,B.Tech,CSE,6.7837930822166745
Female,B.Tech,CSE,6.487970485740719
Male,B.Tech,CND,7.571995637392684
Male,PhD,CHD,7.8750620374413
Male,MS,CSE,8.39525550505249
Male,B.Tech,CSE,6.161014437270343
Male,B.Tech,CHD,6.737647445839982
Male,B.Tech,CHD,7.616044397012817
Male,B.Tech,CSE,6.296203280013956
Male,B.Tech,ECE,7.650536488977602
Male,B.Tech,CHD,7.552994157671368
Male,B.Tech,ECE,6.729049326623056
Male,B.Tech,CHD,8.161783201355789
Female,B.Tech,ECE,7.0777843419771145
Male,B.Tech,CND,8.10227652658535
Male,B.Tech,CSE,8.793464924877178
Male,PhD,CSE,8.179349489149345
Female,MS,CHD,8.451468488819177
Male,B.Tech,ECE,6.362432074677124
Male,B.Tech,CHD,5.967185590491802
Male,MS,CSE,7.8631782398295
Male,PhD,CND,7.618699860125269
Male,MS,CSE,7.343674554246883
Male,B.Tech,ECE,7.591432599321068
Male,PhD,CSE,8.043175492275582
Female,B.Tech,ECE,7.710514087121862
Female,MS,CHD,8.20958835661224
Male,PhD,ECE,9.225577031009559
Male,B.Tech,CSE,7.5243372855760455
Female,PhD,CHD,8.857109035139658
Male,B.Tech,CHD,7.401884663127547
Male,PhD,ECE,8.455696750539037
Male,B.Tech,CSE,8.164733042113316
Male,PhD,ECE,8.634398732932633
Female,B.Tech,CND,7.210063612957428
Female,MS,ECE,8.143958266150802
Female,B.Tech,CSE,7.538229311830416
Male,B.Tech,ECE,6.328626480540115
Male,B.Tech,ECE,6.286200533861302
Male,MS,CSE,8.997784152661053
Male,B.Tech,CND,8.864413663859997
Male,B.Tech,ECE,6.071117541589834
Female,B.Tech,ECE,6.331005567560296
Female,PhD,ECE,8.871261409752073
Male,B.Tech,CHD,7.533519993142397
Female,B.Tech,CSE,7.676428105320922
Female,B.Tech,CSE,7.896601294853057
Male,B.Tech,CSE,6.759267838255925
Male,B.Tech,ECE,7.329969924990187
Male,B.Tech,ECE,7.252192150698092
Male,MS,CHD,7.399055879828178
Male,MS,CSE,8.220563660250992
Female,B.Tech,ECE,8.237710696149668
Male,B.Tech,ECE,6.6658667611566385
Male,B.Tech,CSE,7.152569248740934
Male,B.Tech,CHD,7.206708916010856
Male,MS,ECE,7.800734814695311
Female,B.Tech,ECE,7.6769012376943575
Female,B.Tech,CSE,6.319934368745012
Male,B.Tech,ECE,8.332645518695934
Male,MS,CND,8.438343893142571
Male,B.Tech,CND,6.063231399327106
Male,B.Tech,CSE,8.698009684886253
Male,B.Tech,ECE,7.168101461261595
Male,MS,CSE,7.4939367379354636
Male,PhD,CND,8.852277262495596
Male,B.Tech,ECE,7.494671519448025
Male,B.Tech,CSE,5.228040295765962
Male,PhD,CSE,8.037169841378073
Male,B.Tech,CND,7.279097337221543
Male,B.Tech,ECE,4.840433322357342
Male,B.Tech,CSE,7.085070085387394
Female,B.Tech,CSE,7.15797937270526
Female,B.Tech,CSE,5.816508117624178
Male,MS,CHD,8.189451420381975
Male,B.Tech,CND,7.007463839125034
Male,B.Tech,CHD,5.808705894114985
Male,MS,ECE,8.643692382803977
Male,B.Tech,CHD,7.837853794767805
Female,B.Tech,ECE,6.710262913147639
Male,B.Tech,CSE,6.801418676608177
Male,MS,CND,8.508384756316742
Male,MS,ECE,7.859535799821735
Male,PhD,ECE,7.334545899739924
Male,MS,CND,8.340855590179949
Female,B.Tech,CSE,6.186740679261492
Male,B.Tech,ECE,6.610156945582406
Female,MS,CND,9.020509397566034
Female,B.Tech,ECE,6.866021525991202
Male,B.Tech,CSE,7.001734935873873
Male,B.Tech,CSE,7.509667275463597
Male,B.Tech,CSE,7.5053339438740325
